coordinate,x,y,overall-no-arctic,arctic
0.404,0.342550,0.292009,0.249222,0.000000
0.405,0.342550,0.292009,0.249222,0.000000
0.406,0.342550,0.292009,0.249222,0.000000
0.407,0.342550,0.292009,0.249222,0.000000
0.408,0.342550,0.292009,0.249222,0.000000
0.409,0.342550,0.292009,0.249222,0.000000
0.410,0.342550,0.292009,0.249222,0.000000
0.411,0.343236,0.292009,0.249222,0.000000
0.412,0.343236,0.292009,0.249222,0.000000
0.413,0.343236,0.292009,0.249222,0.000000
0.414,0.343236,0.292009,0.249222,0.000000
0.415,0.343236,0.293812,0.249222,0.000000
0.416,0.343236,0.293812,0.249222,0.000000
0.417,0.343236,0.293812,0.249222,0.000000
0.418,0.343236,0.293812,0.249222,0.000000
0.419,0.343236,0.293812,0.249222,0.000000
0.420,0.343236,0.293812,0.249222,0.000000
0.421,0.343236,0.293812,0.249222,0.000000
0.422,0.343236,0.293812,0.249222,0.000000
0.423,0.343236,0.293812,0.249222,0.000000
0.424,0.343236,0.293812,0.249222,0.000000
0.425,0.343236,0.293812,0.249222,0.000000
0.426,0.343236,0.293812,0.249222,0.000000
0.427,0.343236,0.293812,0.249222,0.000000
0.428,0.343236,0.293812,0.249222,0.000000
0.429,0.341179,0.294107,0.249222,0.000000
0.430,0.341179,0.294107,0.249222,0.000000
0.431,0.341179,0.294107,0.249222,0.000000
0.432,0.341179,0.294107,0.249222,0.000000
0.433,0.341179,0.294107,0.249222,0.000000
0.434,0.341179,0.294107,0.249222,0.000000
0.435,0.341179,0.294107,0.249222,0.000000
0.436,0.341179,0.294107,0.249222,0.000000
0.437,0.341179,0.294107,0.249222,0.000000
0.438,0.341179,0.294107,0.249222,0.000000
0.439,0.341179,0.294107,0.249222,0.000000
0.440,0.341179,0.294107,0.249222,0.000000
0.441,0.341179,0.294107,0.249222,0.000000
0.442,0.341179,0.294107,0.249222,0.000000
0.443,0.341179,0.295661,0.249222,0.000000
0.444,0.341179,0.295661,0.249222,0.000000
0.445,0.341179,0.295661,0.249222,0.000000
0.446,0.341179,0.295661,0.249222,0.000000
0.447,0.339214,0.295661,0.249222,0.000000
0.448,0.339214,0.295661,0.249222,0.000000
0.449,0.339214,0.295661,0.249222,0.000000
0.450,0.339214,0.295661,0.249222,0.000000
0.451,0.339214,0.295661,0.249222,0.000000
0.452,0.339214,0.295661,0.249222,0.000000
0.453,0.339214,0.295661,0.249222,0.000000
0.454,0.339214,0.295661,0.249222,0.000000
0.455,0.339214,0.295661,0.249222,0.000000
0.456,0.339214,0.295661,0.249222,0.000000
0.457,0.339214,0.295661,0.249222,0.000000
0.458,0.339214,0.294804,0.249222,0.000000
0.459,0.339214,0.294804,0.249222,0.000000
0.460,0.339214,0.294804,0.249222,0.000000
0.461,0.339214,0.294804,0.249222,0.000000
0.462,0.339214,0.294804,0.249222,0.000000
0.463,0.339214,0.294804,0.249222,0.000000
0.464,0.339214,0.294804,0.249222,0.000000
0.465,0.337964,0.294804,0.249222,0.000000
0.466,0.337964,0.294804,0.249222,0.000000
0.467,0.337964,0.294804,0.249222,0.000000
0.468,0.337964,0.294804,0.249222,0.000000
0.469,0.337964,0.294804,0.249222,0.000000
0.470,0.337964,0.294804,0.249222,0.000000
0.471,0.337964,0.294804,0.249222,0.000000
0.472,0.337964,0.294250,0.249222,0.000000
0.473,0.337964,0.294250,0.249222,0.000000
0.474,0.337964,0.294250,0.249222,0.000000
0.475,0.337964,0.294250,0.249222,0.000000
0.476,0.337964,0.294250,0.249222,0.000000
0.477,0.337964,0.294250,0.249222,0.000000
0.478,0.337964,0.294250,0.249222,0.000000
0.479,0.337964,0.294250,0.249222,0.000000
0.480,0.337964,0.294250,0.249222,0.000000
0.481,0.337964,0.294250,0.249222,0.000000
0.482,0.337964,0.294250,0.249222,0.000000
0.483,0.337664,0.294250,0.249222,0.000000
0.484,0.337664,0.294250,0.249222,0.000000
0.485,0.337664,0.294250,0.249222,0.000000
0.486,0.337664,0.294795,0.249222,0.000000
0.487,0.337664,0.294795,0.249222,0.000000
0.488,0.337664,0.294795,0.249222,0.000000
0.489,0.337664,0.294795,0.249222,0.000000
0.490,0.337664,0.294795,0.249222,0.000000
0.491,0.337664,0.294795,0.249222,0.000000
0.492,0.337664,0.294795,0.249222,0.000000
0.493,0.337664,0.294795,0.249222,0.000000
0.494,0.337664,0.294795,0.249222,0.000000
0.495,0.337664,0.294795,0.249222,0.000000
0.496,0.337664,0.294795,0.249222,0.000000
0.497,0.337664,0.294795,0.249222,0.000000
0.498,0.337664,0.294795,0.249222,0.000000
0.499,0.337664,0.294795,0.249222,0.000000
0.500,0.339771,0.293982,0.249222,0.000000
0.501,0.339771,0.293982,0.249222,0.000000
0.502,0.339771,0.293982,0.249222,0.000000
0.503,0.339771,0.293982,0.249222,0.000000
0.504,0.339771,0.293982,0.249222,0.000000
