coordinate,x,y,overall-no-arctic,arctic
0.288,0.164007,0.145259,0.122183,0.000000
0.289,0.164007,0.145259,0.122183,0.000000
0.290,0.164007,0.145259,0.122183,0.000000
0.291,0.164007,0.145259,0.122183,0.000000
0.292,0.164007,0.145259,0.122183,0.000000
0.293,0.164007,0.145259,0.122183,0.000000
0.294,0.164007,0.145259,0.122183,0.000000
0.295,0.164007,0.145259,0.122183,0.000000
0.296,0.164007,0.145259,0.122183,0.000000
0.297,0.164007,0.145259,0.122183,0.000000
0.298,0.164007,0.145259,0.122183,0.000000
0.299,0.164007,0.145259,0.122183,0.000000
0.300,0.164007,0.145196,0.122183,0.000000
0.301,0.164007,0.145196,0.122183,0.000000
0.302,0.164007,0.145196,0.122183,0.000000
0.303,0.164007,0.145196,0.122183,0.000000
0.304,0.165000,0.145196,0.122183,0.000000
0.305,0.165000,0.145196,0.122183,0.000000
0.306,0.165000,0.145196,0.122183,0.000000
0.307,0.165000,0.145196,0.122183,0.000000
0.308,0.165000,0.145196,0.122183,0.000000
0.309,0.165000,0.145196,0.122183,0.000000
0.310,0.165000,0.145196,0.122183,0.000000
0.311,0.165000,0.145196,0.122183,0.000000
0.312,0.165000,0.145196,0.122183,0.000000
0.313,0.165000,0.145196,0.122183,0.000000
0.314,0.165000,0.145196,0.122183,0.000000
0.315,0.165000,0.145732,0.122183,0.000000
0.316,0.165000,0.145732,0.122183,0.000000
0.317,0.165000,0.145732,0.122183,0.000000
0.318,0.165000,0.145732,0.122183,0.000000
0.319,0.165000,0.145732,0.122183,0.000000
0.320,0.165000,0.145732,0.122183,0.000000
0.321,0.165000,0.145732,0.122183,0.000000
0.322,0.166221,0.145732,0.122183,0.000000
0.323,0.166221,0.145732,0.122183,0.000000
0.324,0.166221,0.145732,0.122183,0.000000
0.325,0.166221,0.145732,0.122183,0.000000
0.326,0.166221,0.145732,0.122183,0.000000
0.327,0.166221,0.145732,0.122183,0.000000
0.328,0.166221,0.145732,0.122183,0.000000
0.329,0.166221,0.145982,0.122183,0.000000
0.330,0.166221,0.145982,0.122183,0.000000
0.331,0.166221,0.145982,0.122183,0.000000
0.332,0.166221,0.145982,0.122183,0.000000
0.333,0.166221,0.145982,0.122183,0.000000
0.334,0.166221,0.145982,0.122183,0.000000
0.335,0.166221,0.145982,0.122183,0.000000
0.336,0.166221,0.145982,0.122183,0.000000
0.337,0.166221,0.145982,0.122183,0.000000
0.338,0.166221,0.145982,0.122183,0.000000
0.339,0.166221,0.145982,0.122183,0.000000
0.340,0.165800,0.145982,0.122183,0.000000
0.341,0.165800,0.145982,0.122183,0.000000
0.342,0.165800,0.145982,0.122183,0.000000
0.343,0.165800,0.145741,0.122183,0.000000
0.344,0.165800,0.145741,0.122183,0.000000
0.345,0.165800,0.145741,0.122183,0.000000
0.346,0.165800,0.145741,0.122183,0.000000
0.347,0.165800,0.145741,0.122183,0.000000
0.348,0.165800,0.145741,0.122183,0.000000
0.349,0.165800,0.145741,0.122183,0.000000
0.350,0.165800,0.145741,0.122183,0.000000
0.351,0.165800,0.145741,0.122183,0.000000
0.352,0.165800,0.145741,0.122183,0.000000
0.353,0.165800,0.145741,0.122183,0.000000
0.354,0.165800,0.145741,0.122183,0.000000
0.355,0.165800,0.145741,0.122183,0.000000
0.356,0.165800,0.145741,0.122183,0.000000
0.357,0.165800,0.145741,0.122183,0.000000
